Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2023-09-23;1;8;9;11;14;17;22;28;33;36;38;39;41;47;51;59;60;63;66;67
2023-09-22;5;8;18;24;28;32;37;43;44;46;50;51;52;61;62;64;65;67;68;70
2023-09-21;1;2;5;8;9;12;13;14;15;17;24;25;27;36;37;42;44;46;47;63
2023-09-20;1;4;16;19;24;32;36;42;43;46;47;49;50;52;53;59;60;64;68;70
2023-09-19;2;4;13;20;22;23;26;30;31;38;39;42;50;51;52;54;55;65;67;69
2023-09-18;3;6;10;17;20;23;24;28;31;32;34;45;48;54;55;56;58;61;65;70
2023-09-17;6;8;9;11;14;18;21;25;29;31;33;36;38;40;41;47;51;53;62;65
2023-09-16;9;14;18;19;22;23;26;27;28;29;32;33;34;38;44;52;58;59;65;70
2023-09-15;1;3;10;13;17;18;21;26;29;31;32;35;39;43;44;50;55;60;66;67
2023-09-14;1;3;7;9;10;15;16;17;19;20;27;30;49;54;57;58;62;64;65;69
2023-09-13;1;2;8;13;17;20;26;31;38;39;43;45;46;49;50;51;52;64;69;70
2023-09-12;1;6;8;10;11;13;15;20;24;28;35;36;38;55;57;60;61;62;64;68
2023-09-11;2;6;12;14;17;20;28;29;30;33;34;36;38;39;44;45;46;55;64;69
2023-09-10;1;2;4;6;9;11;18;19;21;26;36;38;41;46;47;52;53;55;60;66
2023-09-09;3;8;10;16;20;36;37;38;39;46;47;49;50;52;57;58;63;64;66;67
2023-09-08;4;9;11;12;13;17;18;19;27;29;30;38;39;44;45;50;53;57;59;65
2023-09-07;1;2;5;6;7;17;19;22;28;30;40;51;54;56;61;63;64;65;68;70
2023-09-06;5;9;10;15;16;17;32;37;41;42;46;50;52;53;58;65;67;68;69;70
2023-09-05;1;4;5;6;11;26;27;32;34;37;39;44;48;53;56;59;60;64;66;70
2023-09-04;2;3;4;7;12;13;14;15;25;26;27;28;30;34;40;47;52;58;68;69
2023-09-03;3;16;25;27;28;33;34;36;41;44;47;49;50;55;56;58;59;60;64;69
2023-09-02;4;5;7;15;20;24;25;27;28;40;42;44;49;50;51;52;53;56;62;68
2023-09-01;7;10;16;23;28;30;34;35;38;39;42;43;45;46;53;63;65;66;68;70
2023-08-31;2;8;10;13;16;20;22;34;35;38;39;46;47;52;54;56;60;65;67;70
2023-08-30;5;9;13;14;18;23;26;27;31;32;33;35;38;40;44;51;64;68;69;70
2023-08-29;8;9;10;11;16;17;22;25;29;31;32;34;36;44;47;52;53;60;66;69
2023-08-28;4;9;12;19;20;25;26;30;35;36;43;46;47;54;55;60;63;66;67;69
2023-08-27;3;7;14;21;22;24;27;29;33;34;36;39;42;43;45;46;49;68;69;70
