Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Nummer 7;Nummer 8;Nummer 9;Nummer 10;Nummer 11;Nummer 12;Nummer 13;Nummer 14;Nummer 15;Nummer 16;Nummer 17;Nummer 18;Nummer 19;Nummer 20
2007-08-14;8;13;18;22;29;34;39;41;44;45;48;49;55;62;64;68;71;72;73;77
2007-08-13;12;13;15;20;32;39;40;41;43;45;46;47;52;62;64;66;69;70;76;77
2007-08-11;1;2;9;20;21;24;29;36;37;42;51;53;54;55;56;67;68;69;72;80
2007-08-10;1;4;11;22;27;28;29;31;33;34;40;44;49;52;54;55;58;61;63;79
2007-08-09;3;4;10;25;31;34;35;36;37;38;39;50;52;58;61;62;69;72;73;77
2007-08-08;2;8;12;17;18;22;25;28;33;35;40;45;49;56;57;59;62;64;69;76
2007-08-07;2;5;6;7;11;15;17;19;25;28;30;42;47;49;62;63;73;76;77;78
2007-08-06;5;10;13;14;22;23;24;37;38;43;44;45;51;58;67;68;71;76;78;80
2007-08-04;1;2;7;15;17;27;28;32;33;34;36;40;44;48;49;54;57;63;70;77
2007-08-03;15;16;18;19;23;25;26;27;29;31;32;34;42;51;62;63;67;68;69;75
2007-08-02;2;8;12;13;14;20;23;32;33;35;40;43;45;46;57;58;63;66;73;77
2007-08-01;6;9;14;18;20;21;34;37;40;45;46;49;57;59;63;68;72;74;77;79
2007-07-31;1;6;7;8;11;13;22;27;29;32;36;39;45;53;59;65;71;73;79;80
2007-07-30;1;2;4;10;14;15;22;25;29;32;33;37;39;44;53;57;69;70;71;79
2007-07-28;1;2;16;30;33;36;39;44;49;51;55;60;65;67;69;70;74;77;79;80
2007-07-27;2;7;13;22;25;35;39;40;53;55;56;57;61;62;66;67;71;76;77;80
2007-07-26;1;2;9;12;16;20;26;27;29;30;32;35;36;46;49;57;70;71;77;79
2007-07-25;7;10;11;13;14;29;30;32;36;40;41;42;43;51;52;55;70;72;73;79
2007-07-24;4;7;8;10;13;16;17;18;26;30;41;42;43;47;50;55;75;76;77;78
2007-07-23;2;6;7;10;13;15;19;25;26;29;32;41;42;47;54;56;66;67;68;71
2007-07-20;1;2;3;6;10;11;14;26;28;30;31;34;38;41;50;61;70;74;77;78
2007-07-19;1;7;18;26;28;29;30;36;39;42;53;56;58;59;61;63;70;73;75;80
2007-07-18;5;8;9;12;14;17;18;20;21;24;31;32;36;42;43;52;60;61;67;70
2007-07-17;1;4;5;12;16;18;19;20;21;33;34;36;41;56;58;66;68;72;74;77
2007-07-16;15;16;18;20;22;23;28;29;35;36;44;47;49;56;61;62;67;68;69;70
2007-07-14;10;13;14;28;30;33;40;43;45;46;47;48;57;59;62;73;75;76;78;79
2007-07-13;8;15;16;19;20;23;32;35;36;37;38;39;51;52;55;58;67;68;79;80
2007-07-12;2;3;6;11;13;14;20;26;27;37;42;43;44;47;54;63;64;69;72;79
2007-07-11;2;4;13;16;18;21;28;30;33;34;51;52;53;59;61;62;63;72;79;80
2007-07-10;3;12;23;24;25;30;31;36;38;39;40;46;51;54;60;65;68;71;75;79
2007-07-09;2;6;8;11;16;18;20;25;32;33;36;40;46;48;56;59;66;70;76;78
2007-07-07;3;5;6;7;12;20;22;26;27;29;36;38;40;44;46;49;51;63;67;77
2007-07-06;12;17;18;20;22;23;24;25;28;38;40;42;44;49;52;57;69;71;72;76
2007-07-05;1;6;7;19;22;27;28;30;34;44;45;46;47;51;55;59;64;73;77;78
2007-07-04;2;8;9;14;20;29;31;34;37;40;46;47;52;57;60;65;70;71;75;77
2007-07-03;2;3;7;14;16;17;24;32;35;37;41;42;47;50;53;55;60;61;63;74
2007-07-02;2;7;11;12;13;18;35;44;48;54;56;58;60;61;62;63;67;76;79;80
2007-06-30;1;2;4;18;29;30;33;34;37;38;53;58;62;63;70;71;74;76;78;80
2007-06-29;6;8;10;12;14;15;18;20;22;27;29;30;48;50;53;55;62;68;73;75
2007-06-28;3;5;7;9;19;26;31;37;42;49;50;52;57;60;61;68;71;72;74;80
2007-06-27;5;13;19;22;23;25;26;27;31;35;45;49;50;52;60;65;69;73;75;80
2007-06-26;8;15;16;17;23;27;28;29;31;32;34;39;41;42;43;45;48;53;63;69
2007-06-25;2;5;9;11;17;30;33;45;46;54;55;59;60;62;63;64;69;70;76;80
2007-06-23;1;2;4;9;13;21;23;25;27;29;31;33;38;39;44;48;62;69;75;80
2007-06-22;4;13;19;20;21;25;27;28;31;32;34;43;45;50;53;54;63;66;76;78
2007-06-21;4;9;13;16;20;24;29;30;33;35;36;44;47;49;50;53;60;64;65;72
2007-06-20;6;9;10;22;26;39;41;42;43;45;54;57;59;60;61;69;73;74;77;79
2007-06-19;1;3;6;7;11;14;17;22;28;31;32;35;38;40;42;50;52;60;64;70
2007-06-18;1;2;8;17;18;21;23;24;25;28;29;30;32;33;40;43;55;57;63;77
2007-06-16;3;8;13;22;24;31;35;37;39;41;49;51;58;59;61;70;74;76;78;80
2007-06-15;2;3;10;12;16;26;27;28;29;40;43;51;52;60;61;64;65;71;76;78
2007-06-14;3;5;6;10;11;20;22;31;35;38;55;57;58;63;65;67;70;72;74;76
2007-06-13;3;5;7;9;19;23;30;36;40;41;42;50;52;54;57;58;68;69;70;79
2007-06-12;5;10;16;21;23;26;31;32;37;42;44;48;50;55;58;62;63;64;75;77
2007-06-11;5;10;12;17;28;31;36;37;38;40;50;51;53;56;58;63;64;70;76;80
