Datum;Nummer 1;Nummer 2;Nummer 3;Nummer 4;Nummer 5;Nummer 6;Sterrenbeeld
2014-09-10;1;9;1;0;8;7;Waterman
2014-09-09;9;8;5;5;3;7;Kreeft
2014-09-06;3;6;2;0;3;0;Ram
2014-09-05;7;7;6;6;6;2;Vissen
2014-09-03;2;4;0;5;6;6;Boogschutter
2014-09-02;2;8;2;3;0;8;Leeuw
2014-08-30;5;4;4;5;3;5;Tweeling
2014-08-29;8;2;3;6;5;3;Schorpioen
2014-08-27;9;6;9;8;9;4;Tweeling
2014-08-26;8;2;2;0;4;9;Tweeling
2014-08-23;2;6;7;7;7;0;Tweeling
2014-08-22;3;2;9;1;7;7;Ram
2014-08-20;5;6;1;4;2;5;Leeuw
2014-08-19;0;7;5;7;1;5;Vissen
2014-08-16;5;8;5;8;9;8;Waterman
2014-08-15;1;2;0;2;9;6;Schorpioen
2014-08-13;2;9;1;8;2;9;Stier
2014-08-12;0;1;6;7;3;0;Maagd
2014-08-09;0;3;1;3;2;5;Leeuw
2014-08-08;8;8;9;7;2;7;Schorpioen
2014-08-06;9;8;6;4;5;1;Leeuw
2014-08-05;4;1;7;3;9;0;Maagd
2014-08-02;2;6;8;8;4;3;Weegschaal
2014-08-01;2;9;2;1;9;9;Schorpioen
2014-07-30;3;6;0;4;5;8;Tweeling
2014-07-29;3;6;6;2;7;1;Schorpioen
2014-07-26;6;4;3;6;8;3;Stier
2014-07-25;9;4;2;7;2;8;Leeuw
2014-07-23;0;9;0;2;4;6;Schorpioen
2014-07-22;9;0;1;5;1;5;Tweeling
2014-07-19;8;0;0;4;6;8;Maagd
2014-07-18;7;8;9;5;8;5;Waterman
2014-07-16;7;9;0;3;2;5;Kreeft
2014-07-15;9;7;5;2;6;8;Leeuw
2014-07-12;2;9;0;4;6;4;Leeuw
2014-07-11;4;0;5;4;9;4;Tweeling
2014-07-09;2;3;7;5;2;4;Waterman
2014-07-08;9;5;9;2;3;0;Leeuw
2014-07-05;7;0;6;6;6;5;Maagd
2014-07-04;0;7;3;5;7;9;Vissen
2014-07-02;0;4;0;2;9;0;Steenbok
2014-07-01;0;5;9;2;8;0;Leeuw
2014-06-28;3;2;8;2;6;3;Waterman
2014-06-27;1;2;4;1;1;6;Stier
2014-06-25;1;9;5;2;6;9;Schorpioen
2014-06-24;2;4;8;1;7;6;Weegschaal
2014-06-21;7;2;4;2;1;3;Waterman
2014-06-20;7;1;3;0;8;9;Vissen
2014-06-18;6;9;4;6;4;7;Tweeling
2014-06-17;5;5;5;4;1;3;Kreeft
2014-06-14;3;7;8;4;0;6;Ram
2014-06-13;6;5;5;2;0;3;Ram
2014-06-11;3;9;2;4;4;7;Stier
2014-06-10;4;5;5;9;7;1;Steenbok
2014-06-07;2;7;7;4;9;6;Stier
2014-06-06;0;0;1;1;9;8;Steenbok
2014-06-04;6;6;1;0;1;3;Leeuw
2014-06-03;8;1;1;8;7;9;Steenbok
2014-05-31;5;4;9;5;1;9;Stier
2014-05-30;0;2;0;3;9;4;Steenbok
2014-05-28;6;9;3;1;3;9;Boogschutter
2014-05-27;4;4;2;2;8;8;Weegschaal
2014-05-24;1;4;8;0;8;3;Schorpioen
2014-05-23;0;3;8;1;5;2;Kreeft
2014-05-21;6;9;7;7;1;4;Tweeling
2014-05-20;4;3;2;6;6;1;Maagd
2014-05-17;6;7;4;5;8;6;Kreeft
2014-05-16;3;1;0;1;8;0;Weegschaal
2014-05-14;2;1;6;5;5;9;Ram
2014-05-13;1;2;0;5;2;9;Boogschutter
2014-05-10;7;9;0;2;5;6;Schorpioen
2014-05-09;3;3;8;2;9;0;Leeuw
2014-05-07;1;6;4;1;8;5;Weegschaal
2014-05-06;9;8;4;8;6;6;Maagd
2014-05-03;2;9;3;7;2;8;Maagd
2014-05-02;9;0;0;3;5;1;Ram
2014-04-30;4;9;2;7;6;5;Boogschutter
2014-04-29;3;7;1;7;7;6;Schorpioen
2014-04-26;7;3;4;3;0;0;Waterman
2014-04-25;4;1;5;1;9;9;Kreeft
2014-04-23;1;0;1;0;0;0;Stier
2014-04-22;2;9;3;1;6;3;Weegschaal
2014-04-19;3;5;1;9;9;6;Maagd
2014-04-18;1;2;1;4;3;9;Maagd
2014-04-16;1;5;0;4;0;0;Kreeft
2014-04-15;5;6;4;9;2;8;Steenbok
2014-04-12;6;1;3;0;4;3;Steenbok
2014-04-11;7;9;2;0;3;4;Boogschutter
2014-04-09;3;6;0;9;3;1;Boogschutter
2014-04-08;7;6;9;5;8;1;Waterman
2014-04-05;7;2;9;1;4;7;Weegschaal
2014-04-04;5;8;7;5;0;1;Vissen
2014-04-02;0;0;0;4;9;3;Maagd
2014-04-01;7;9;7;6;2;4;Waterman
2014-03-29;9;6;3;5;0;8;Ram
2014-03-28;6;7;3;2;0;2;Ram
2014-03-26;0;6;8;7;7;2;Boogschutter
2014-03-25;9;3;0;6;9;7;Leeuw
2014-03-22;0;4;0;2;0;8;Waterman
2014-03-21;1;8;7;6;0;1;Maagd
2014-03-19;8;4;8;2;3;8;Steenbok
2014-03-18;7;0;1;6;7;2;Schorpioen
2014-03-15;2;7;2;2;6;5;Waterman
2014-03-14;1;5;0;8;0;5;Kreeft
2014-03-12;2;2;3;7;9;1;Weegschaal
2014-03-11;7;0;5;5;2;2;Kreeft
2014-03-08;9;8;1;7;6;6;Tweeling
2014-03-07;2;3;2;6;3;9;Stier
2014-03-05;3;7;8;9;4;3;Leeuw
2014-03-04;4;4;2;2;7;5;Kreeft
2014-03-01;4;7;3;2;0;4;Stier
2014-02-28;6;2;8;2;4;9;Kreeft
2014-02-26;6;8;4;0;5;6;Leeuw
2014-02-25;1;2;1;1;8;9;Weegschaal
2014-02-22;8;4;1;1;2;4;Weegschaal
2014-02-21;7;2;5;5;1;8;Tweeling
2014-02-19;6;0;3;3;8;5;Tweeling
2014-02-18;7;4;3;8;1;2;Weegschaal
2014-02-15;0;3;3;1;9;0;Steenbok
2014-02-14;8;2;2;1;3;6;Waterman
2014-02-12;8;3;3;0;7;1;Stier
2014-02-11;5;1;8;8;6;0;Tweeling
2014-02-08;8;3;5;0;0;5;Steenbok
2014-02-07;5;6;0;6;0;5;Stier
2014-02-05;9;6;1;8;4;3;Maagd
2014-02-04;7;7;8;6;1;8;Weegschaal
2014-02-01;0;3;1;1;2;1;Vissen
2014-01-31;2;1;9;9;9;9;Vissen
2014-01-29;0;8;5;3;9;0;Ram
2014-01-28;6;8;8;7;2;5;Waterman
2014-01-25;9;5;8;9;5;0;Boogschutter
2014-01-24;2;8;0;7;3;6;Kreeft
2014-01-22;6;6;7;5;9;3;Schorpioen
2014-01-21;9;7;5;0;7;3;Schorpioen
2014-01-18;0;2;7;3;4;4;Weegschaal
2014-01-17;9;5;1;9;4;4;Tweeling
2014-01-15;8;5;7;4;4;1;Weegschaal
2014-01-14;0;7;9;1;3;9;Kreeft
2014-01-11;5;4;4;3;2;2;Maagd
2014-01-10;4;0;8;9;4;3;Vissen
2014-01-08;5;3;8;9;7;6;Stier
2014-01-07;5;0;0;7;7;2;Stier
2014-01-04;1;3;6;2;7;7;Ram
2014-01-03;8;9;8;7;7;3;Steenbok
2014-01-01;3;6;6;8;3;7;Stier
